State,Crop Name,Sowing Period,Harvesting Period
Karnataka,Kharif Arhar,Jun(M)-Jul(M),Dec(M)-Jan(M)
Maharashtra,Early Kharif Arhar,Jun(B)-Jun(M),Dec(M)-Jan(M)
Maharashtra,Kharif Arhar,Jun(M)-Jul(M),Dec(M)-Feb(M)
Madhya Pradesh,Early Kharif Arhar,Jun(B)-Jun(M),Jun(B)-Jun(M)
Madhya Pradesh,Kharif Arhar,Jun(M)-Jul(M),Jan(M)-Feb(M)
All India,Early Kharif Arhar,Jun(B)-Jun(M),Nov(M)-Jan(M)
All India,Kharif Arhar,Jun(B)-Jul(E),Dec(M)-Apr(E)
Assam,Rabi Lentil,Oct(M)-Nov(M),Mar(M)-Apr(M)
Bihar,Kharif Lentil,Jun(M)-Jul(B),Nov(B)-Dec(E)
Bihar,Rabi Lentil,Oct(M)-Nov(M),Mar(M)-Apr(M)
Goa,Kharif Lentil,Aug(B)-Sep(E),Dec(B)-Jan(E)
Goa,Rabi Lentil,Nov(B)-Dec(E),Mar(B)-May(E)
Punjab,Kharif Lentil,Jun(B)-Jul(E),Nov(B)-Dec(E)
Punjab,Rabi Lentil,Oct-Nov,March-April
West Bengal,Kharif Lentil,Nov(B)-Nov(E),Feb(B)-Mar(E)
West Bengal,Rabi Lentil,Oct(M)-Nov(M),Mar(M)-Apr(M)
Assam,Rabi Pea,Oct(M)-Nov(M),Mar(M)-April(M)
Bihar,Rabi Pea,Oct(M)-Nov(M),Mar(M)-April(M)
Chattisgarh,Rabi Pea,Oct(M)-Nov(M),Mar(M)-April(M)
Jharkhand,Rabi Pea,Oct(M)-Nov(M),Mar(M)-Apr(M)
Rajasthan,Rabi Pea,Oct(E)-Nov(M),Mar(B)-Apr(M)
Tripura,Rabi Pea,Oct(E)-Nov(M),Mar(B)-Apr(M)
Gujarat,Rabi Pea,Oct(M)-Nov(M),Mar(M)-Apr(M)
Haryana,Rabi Pea,Oct(M)-Nov(M),Mar(M)-Apr(M)
Madhya Pradesh,Rabi Pea,Oct(E)-Nov(M),Mar(B)-Apr(M)
Uttar Pradesh,Rabi Pea,Oct(M)-Nov(M),Mar(M)-Apr(M)
Assam,Rabi Chickpea,Oct(M)-Nov(M),March(B)-March(E)
Bihar,Rabi Chickpea,Oct(M)-Nov(M),March(B)-March(E)
Chattisgarh,Rabi Chickpea,Oct(B)-Oct(E),Feb(E)-March(E)
Gujarat,Rabi Chickpea,Oct(B)-Nov(M),Feb(M)-March(E)
Haryana,Rabi Chickpea,Oct(M)-Nov(E),March(M)-April(B)
Karnataka,Rabi Chickpea,Sept(E)-Oct(E),Jan(M)-Feb(E)
Madhya Pradesh,Rabi Chickpea,Oct(B)-Nov(B),Feb(M)-March(E)
Maharashtra,Rabi Chickpea,Sept(E)-Oct(E),Feb(M)-March(E)
Punjab,Rabi Chickpea,Oct(M)-Nov(E),March(M)-April(E)
Uttar Pradesh,Rabi Chickpea,Oct(M)-Nov(E),March(M)-April(E)
West Bengal,Rabi Chickpea,Oct(M)-Nov(E),March(B)-March(E)
Andhra Pradesh,Kharif Groundnut,Jun(B)-july(E),Sep(M)-Nov(M)
Andhra Pradesh,Rabi Groundnut,Nov(M)-Jan(E),Feb(E)-May(B)
Assam,Rabi Groundnut,July(B)-Aug(E),Nov(B)-Dec(E)
Gujarat,Kharif Groundnut,Jun(B)-July(E),Sep(B)-Nov(E)
Gujarat,Summer Groundnut,Jan(B)-Feb(E),Apr(B)-May(E)
Karnataka,Kharif Groundnut,Jun(B)-jul(E),Sep(B)-Oct(E)
Karnataka,Rabi Groundnut,Nov(M)-Jan(E),Feb(E)-May(B)
Karnataka,Summer Groundnut,Dec(B)-Jan(E),Mar(B)-Apr(E)
Madhya Pradesh,Kharif Groundnut,Jun(M)-july(E),Sep(M)-Oct(E)
Maharashtra,Kharif Groundnut,Jun(E)-Jul(E),Oct(B)-Nov(B)
Maharashtra,Summer Groundnut,Jan(B)-Feb(E),Apr(B)-May(E)
Rajasthan,Kharif Groundnut,Jun(B)-jul(E),Oct(B)-Nov(E)
Uttar Pradesh,Kharif Groundnut,Jul(B)-jul(E),Oct(B)-Nov(B)
